col1,ID,ra,dec,pmRA,pmDEC,Tmag,objType,typeSrc,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,dstArcSec,EPIC,rafloat,decfloat,EPIC,InvestigationIDs,dist,solution_id,designation,source_id,random_index,ref_epoch,ra_cone,ra_error,dec_cone,dec_error,parallax,parallax_error,parallax_over_error,pmra_cone,pmra_error,pmdec_cone,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,distest,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,Separation
17,4554210,347.998285,-11.933584,20.1,-29.9,6.676,STAR,2mass,20180610,114536,5824-00496-1,,23115958-1156008,,,2413051302797084416,,,tmgaia,1.3,1.2,tycho2,5.54,2.37,hip,61.153562,-62.171301,344.305032,-6.245471,8.887,0.038,7.00634,0.023,,,,,,,,,,,7.061,,6.646,,4.917,0.027,UUA-001-001-00c-0-0,2.6,,,,,,,,,7.41889,3.45996E-4,0.021,gaiak,splin,5136.0,182.0,,,,,0.895408,0.895408,0.866131,0.103919,1.20648,3.61944,GIANT,0.5026167,0.5026167,180.505417,77.2198,0.034789,,,,,,,0.31790611821344034,2.45925582E8,347.9982,-11.933553999999999,245925582,GO19051_LC|GO19067_LC,1.0469686676799415E-4,1635721458409799680,Gaia DR2 2413051302797084416,2413051302797084416,1514979786,2015.5,347.99830321383894,0.03756688256599147,-11.933687169154716,0.03580272217609843,3.9305197058008186,0.047146513475606625,83.368195,22.01103521777396,0.07935814434418284,-29.394669584389835,0.07028536156717283,0.10092868,0.25770453,0.14078015,-0.15789206,-0.33587894,-0.029418873,0.1430361,-0.15265061,-0.3381268,0.22017166,152,152,150,2,5.9732766,271.3484,0.0,0.0,31,true,92.11846,1.556121497647445,0.008836060898962933,0.024475435,18,10,0.051708635,0,19,false,149,1.9067677726101905E7,5476.68019311452,3481.6123,7.4876213,14,8644667.46728645,13764.164980613588,628.0561,8.009518,12,1.454781859933077E7,22834.621350657428,637.0948,6.854925,1.2163247,0,1.1545925,0.52189636,0.63269615,,,0,,,,NOT_AVAILABLE,61.15340783314243,-62.17137738920709,344.3050232087898,-6.245581106197898,100001,5046.6,4891.0,5300.0,0.0353,0.008,0.7722,0.0193,0.0029,0.3568,200111,9.5503645,8.658965,10.167692,246.0624641847512,53.30036,52.40801,54.192715,http://geadata.esac.esa.int/data-server/datalink/links?ID=2413051302797084416,,1.0469686676271221E-4
60,4579916,348.407583,-11.74935,5.04165,-6.87864,8.097,STAR,2mass,20180610,,5824-00485-1,392-129885,23133781-1144576,,J231337.82-114457.6,2413014469157323264,7401959,,tmgaia,1.0227,2.0703,tgas,2.27403,0.933547,tgas,61.988459,-62.379999,344.7484,-6.232866,10.978,0.087,9.591,0.013,,,,,,,,,,,6.986,0.021,6.318,0.029,6.124,0.018,AAA-111-111-000-0-0,22.0,6.008,0.109,6.087,0.029,6.087,0.015,6.002,0.052,8.90488,3.45996E-4,0.017,gaiaj,splin,4034.0,164.0,,,,,0.650573,0.0645538,0.6307484,0.0747807,,,GIANT,,,439.748138,127.986,0.0330945,,,,,,,0.06617114328624094,2.45929348E8,348.4076,-11.749342,245929348,GO19067_LC|GO19068_LC,4.910114604057691E-5,1635721458409799680,Gaia DR2 2413014469157323264,2413014469157323264,1256658432,2015.5,348.4076269934816,0.05307723043372189,-11.749373574341668,0.03176263157023679,1.3976772588350699,0.056227466706789,24.857553,6.875410617368213,0.08026402619604303,-5.478809902757336,0.059819273757804686,-0.07796125,0.62906635,0.004416772,-0.40048575,-0.2104669,-0.19005974,-0.124693364,-0.08861171,-0.3938639,0.0506099,135,135,134,1,4.275195,209.65247,0.0,0.0,31,true,259.15485,1.4496430153853348,0.01132537380293617,-0.15937468,15,9,0.04761924,0,15,false,129,4666533.732364411,1987.3682585079873,2348.0972,9.01588,14,1617697.1846582748,1724.9036587754738,937.84784,9.829145,14,4329694.342533985,9558.328565605574,452.9761,8.170777,1.2744774,0,1.6583681,0.8132658,0.8451023,5.032103589950282,0.4673602088644744,3,4500.0,3.0,0.0,NOT_AVAILABLE,61.98847570560481,-62.380047329651426,344.74844621365605,-6.232912809817621,100001,4129.65,4027.27,4279.9165,0.4955,0.2263,0.742,0.2268,0.1172,0.357,200111,23.550972,21.926268,24.763601,474.6325915666196,145.33337,137.52766,153.13908,http://geadata.esac.esa.int/data-server/datalink/links?ID=2413014469157323264,,4.910114605500335E-5
93,4582469,348.516774,-11.629373,-21.0234,-2.30602,9.411,STAR,2mass,20180610,,5824-00072-1,392-129897,23140402-1137457,,J231404.01-113745.8,2413392220120958208,7402201,,tmgaia,1.39294,0.861654,tgas,6.28507,0.519814,tgas,62.334256,-62.391729,344.894657,-6.164411,10.335,0.083,9.812,0.006,,,,,,,,,,,8.949,0.027,8.73,0.022,8.67,0.02,AAA-122-111-000-0-0,5.1,8.642,0.023,8.682,0.02,8.686,0.029,8.571,,9.74952,3.45996E-4,0.019,gaiaj,tplx,6162.95,45.2635,4.03716,0.0906446,-0.291311,0.0768221,1.4575,0.245663,1.30728,0.258643,0.422224,0.213499,DWARF,2.76100016,0.93073833,159.107224,15.1934,0.0319831,,17.0,0.0064911074,,,0.00149681268,0.11783483313509296,2.45931711E8,348.51678,-11.629405,245931711,GO19003_LC|GO19049_LC|GO19065_LC|GO19067_LC,9.709894000728806E-5,1635721458409799680,Gaia DR2 2413392224416454528,2413392224416454528,930962024,2015.5,348.51668166553003,0.04458015219404105,-11.629408341007176,0.038312707091428824,6.711581138436781,0.04953264578739781,135.49814,-23.01757077849371,0.07572207306273994,-2.330292664502357,0.06486679415740997,0.26916724,0.44837674,-0.13418041,-0.45623606,-0.07552755,-0.3755134,-0.43559992,0.00392929,-0.33991674,0.27167422,132,132,130,2,5.005364,221.04288,0.0,0.0,31,true,255.486,1.6584465080324562,0.011145278799526256,-0.032387707,15,9,0.052440185,0,15,false,127,2294203.54386689,663.2604934181489,3458.978,9.786786,14,1316411.7359451826,1689.4004034500385,779.2183,10.052909,14,1400011.74889204,2462.8639601279583,568.44867,9.396591,1.1840377,0,0.6563177,0.26612282,0.3901949,10.20957745657801,1.5978284850996274,3,6250.0,4.0,-0.25,NOT_AVAILABLE,62.334076284907745,-62.39167935333745,344.8945749975386,-6.164416684057167,100001,6296.165,6167.4766,6474.5396,0.1005,0.0175,0.2466,0.0443,0.0095,0.117,200111,1.1808596,1.1166902,1.2306526,147.831148400275,1.9742205,1.954142,1.994299,http://geadata.esac.esa.int/data-server/datalink/links?ID=2413392224416454528,,9.709894002392078E-5
40,4520668,347.867887,-11.852829,7.85538,-9.00657,10.513,STAR,2mass,20180610,,5824-00149-1,391-134496,23112829-1151101,,J231128.30-115110.3,2413067451874115840,7400689,,tmgaia,0.981485,0.569022,tgas,2.568,0.308578,tgas,61.128814,-62.02074,344.2187,-6.121229,11.285,0.201,10.837,0.014,,,,,,,,,,,10.126,0.025,9.983,0.021,9.919,0.022,AAA-222-111-000-0-0,58.8,9.849,0.024,9.901,0.022,9.865,0.058,8.009,,10.793,3.45996E-4,0.019,gaiaj,tplx,6736.6,83.0,4.16,0.16,0.16,0.12,1.83542,0.42164,1.50612,0.355853,0.243586,0.167873,DWARF,6.25070047,2.87187147,389.4081,65.2611,0.0364555,,18.0,0.004634947,,,5.051684E-4,0.17924545823642682,2.45927251E8,347.86786,-11.852871,245927251,GO19049_LC|GO19067_LC,7.735705608973661E-5,1635721458409799680,Gaia DR2 2413067451874115840,2413067451874115840,25119716,2015.5,347.86793361178593,0.04001214229429273,-11.852891474933692,0.02998516047327646,2.3045185884063732,0.04368024942172006,52.758823,8.172746618854775,0.07015849013953886,-8.686814151419458,0.054876453646825044,0.08078871,0.5086028,0.059586305,-0.36065328,-0.09765978,-0.21874814,-0.21598704,-0.11010546,-0.32900608,0.091811724,152,152,148,4,11.624438,442.01633,0.0,0.0,31,true,313.95477,1.6432369450301874,0.009675348326473755,-0.06971815,17,10,0.04463538,0,17,false,145,875823.730175657,332.4571561571962,2634.3958,10.832324,17,524795.3445083941,430.489855401072,1219.0656,11.051414,17,510587.80252104317,410.6925741983961,1243.236,10.491744,1.1821821,0,0.5596695,0.21908951,0.34058,-20.259776270803936,2.836011416821042,4,6750.0,4.0,0.0,NOT_AVAILABLE,61.12876605599756,-62.020814093991774,344.21873282043174,-6.121312628864951,100001,6735.7993,6652.0,6934.8335,0.9988,0.8253,1.137,0.489,0.3889,0.5584,200111,1.8549186,1.7499717,1.901948,386.4096823831595,6.3811793,6.2087913,6.5535674,http://geadata.esac.esa.int/data-server/datalink/links?ID=2413067451874115840,,7.735705609232616E-5
28,404244638,348.158999,-11.899282,,,10.516,STAR,2mass,20180610,,,391-134525,23123815-1153574,,J231238.15-115357.3,,7401355,,2mass,,,,,,,61.414729,-62.276618,344.464108,-6.275476,12.386,0.06,11.396,0.046,,,,,,,,,,,9.606,0.03,9.002,0.047,8.894,0.019,AAA-212-111-000-0-0,2.2,8.796,0.024,8.899,0.02,8.299,0.024,6.759,0.109,,,0.049,vjk,,4654.0,177.0,,,,,,,,,,,,,,,,0.035229,,,,,,,0.12666091625919249,2.45926259E8,348.15897,-11.899261,245926259,GO19067_LC|GO19068_LC,5.5547105120222574E-5,1635721458409799680,Gaia DR2 2413052230510638976,2413052230510638976,682418776,2015.5,348.15894226594503,0.04247731031690246,-11.899280109627544,0.03597096763826418,0.7024223702406251,0.04706908110878793,14.923223,-6.711135195465681,0.08720475471346419,-2.9960159608964396,0.07578797814920403,0.0016490569,0.32627892,0.24810149,-0.22645319,-0.28614852,-0.22315988,-0.09978764,-0.059896495,-0.05650576,0.19661728,121,121,119,2,4.62879,198.1846,0.0,0.0,31,true,378.03952,1.5354843338211779,0.008837344175129835,-0.025544425,14,9,0.056145165,0,14,false,108,682339.0928500806,259.45798188753037,2629.8635,11.103365,13,299369.4201790851,494.2520217218519,605.70197,11.66087,14,539437.7388264205,503.24693229306075,1071.9146,10.432067,1.2293113,0,1.2288027,0.55750465,0.671298,,,0,,,,NOT_AVAILABLE,61.414660068051646,-62.27657270953225,344.46407206320384,-6.27546096523028,100001,4792.3003,4727.0,4910.5,0.065,0.0106,1.198,0.03,0.0034,0.4551,200111,11.559566,11.009768,11.881146,631.5723401258615,63.497093,57.55651,69.437675,http://geadata.esac.esa.int/data-server/datalink/links?ID=2413052230510638976,,5.554710514517498E-5
106,4579787,348.27578,-11.566559,-25.8715,-52.6024,10.674,STAR,2mass,20180610,,5824-00282-1,393-135074,23130618-1133595,,J231306.16-113400.1,2413442522778591744,7401639,,tmgaia,1.66185,0.922538,tgas,4.44912,0.539673,tgas,62.1316,-62.166363,344.700986,-6.014113,11.718,0.316,11.608,0.028,,,,,,,,,,,10.162,0.026,9.826,0.029,9.751,0.028,AAA-222-111-000-0-0,6.9,9.725,0.023,9.758,0.021,9.719,0.048,8.086,,11.0515,3.45996E-4,0.019,gaiaj,tplx,5390.0,185.0,4.21129,0.50573,,,1.25636,0.307515,0.935602,0.118789,0.47179,0.346435,DWARF,1.20026731,0.5875707,224.76358,,0.0314493,,17.0,0.0759525,,,7.84207368E-4,0.20529891162565586,2.4593303E8,348.27572999999995,-11.566588000000001,245933030,GO19049_LC|GO19065_LC|GO19067_LC,2.8180447061690626E-4,1635721458409799680,Gaia DR2 2413442527073427584,2413442527073427584,886247945,2015.5,348.2756729227874,0.03817136828713743,-11.56682055149765,0.036960332973596535,4.623571925896958,0.04860431394252063,95.12678,-27.775899027230906,0.07359895753258686,-52.07630771603358,0.07365846595963706,0.10531147,0.41082233,-0.048621245,-0.2163433,-0.36959407,-0.21385194,-0.17484026,0.06644865,-0.10319765,0.3776873,139,139,132,7,7.1102138,276.24228,0.0,0.0,31,true,380.46118,1.6398176131447233,0.009489251037620881,0.0430794,16,10,0.053050283,0,16,false,134,678898.2158188086,468.67444262224916,1448.5497,11.108854,15,370568.2328334483,539.1195322786314,687.3582,11.429217,14,440574.8173628938,587.3013087527119,750.1683,10.651871,1.1947933,0,0.7773466,0.32036304,0.45698357,10.22846329319049,0.4802051830221642,5,5500.0,3.5,0.0,NOT_AVAILABLE,62.13101908028339,-62.16643943290795,344.7008003004553,-6.014321422415072,100001,5829.0,5597.0,6247.16,0.097,0.0257,0.1931,0.0553,0.0123,0.0974,200111,1.0964508,0.95457923,1.1892322,211.49508380364568,1.2504008,1.232184,1.2686175,http://geadata.esac.esa.int/data-server/datalink/links?ID=2413442527073427584,,2.818044706032228E-4
155,4619629,349.260652,-11.217875,-7.95424,-26.0995,10.939,STAR,2mass,20180610,,5824-01036-1,394-128709,23170255-1113043,,J231702.54-111304.5,2413525157948692864,7403917,,tmgaia,2.44501,1.27806,tgas,2.85571,0.756628,tgas,64.015617,-62.708442,345.731571,-6.072171,12.153,0.344,11.486,0.024,,,,,,,,,,,10.38,0.023,10.074,0.021,10.019,0.021,AAA-222-111-000-0-0,65.7,9.963,0.023,10.028,0.02,10.032,0.06,8.603,,11.3519,3.45996E-4,0.018,gaiaj,spec,5835.3,76.0,3.78,0.12,-0.06,0.1,2.4904,0.445228,1.36365592,0.130092,0.0882872,0.0473514,DWARF,6.478663,2.31648064,258.79,73.3466,0.0281248,,21.0,8.840591E-4,,,2.33216953E-4,0.09891610219142286,2.45940149E8,349.26068,-11.217874,245940149,GO19049_LC|GO19065_LC|GO19067_LC,8.453951655491458E-5,1635721458409799680,Gaia DR2 2413525157948692864,2413525157948692864,961091667,2015.5,349.2606235040059,0.03779883622856376,-11.217954784961824,0.028232434118329222,2.410850574546391,0.040210007252673936,59.956482,-5.954021650610457,0.07618621901952699,-25.359309654023217,0.061556439587817154,0.044136066,0.42953667,0.042365536,-0.12686817,-0.092722215,-0.10291854,-0.025874348,0.021903189,-0.09184711,0.11669158,146,146,141,5,5.3522224,243.76088,0.0,0.0,31,true,457.14764,1.5799898029990247,0.008881709275642363,-0.08442726,17,10,0.04932219,0,17,false,139,508178.6755324847,226.87719818362442,2239.8843,11.423325,14,269217.10707573756,452.04412642482214,595.55493,11.776132,14,339838.18761016865,346.05163937685506,982.04474,10.93374,1.1985062,0,0.84239197,0.35280704,0.48958492,-16.78368393726937,1.0851840055302928,6,5750.0,4.0,0.0,NOT_AVAILABLE,64.01544250128204,-62.70847039354609,345.73152842766774,-6.072242079728232,100001,5599.0664,5228.235,5761.1333,1.3275,0.8529,1.6721,0.6315,0.337,0.8371,200111,1.9876536,1.877397,2.2796164,378.59128677241483,3.4981513,3.4129746,3.583328,http://geadata.esac.esa.int/data-server/datalink/links?ID=2413525157948692864,,8.453951654235419E-5
8,5738944,348.021353,-11.982817,-24.3069,-15.5453,11.426,STAR,2mass,20180610,,,391-134515,23120512-1158581,,J231205.10-115858.0,2413050168925719424,7401043,,tmgaia,0.920275,0.929776,hsoy,,,,61.097848,-62.218817,344.306536,-6.299608,12.522,0.063,11.982,0.092,,,,,,,,,,,10.797,0.022,10.534,0.025,10.45,0.023,AAA-222-111-000-0-0,22.1,10.403,0.023,10.449,0.021,10.376,0.093,8.247,,11.8918,3.45996E-4,0.018,gaiaj,splin,5831.0,190.0,4.33546,2.00353,,,1.15402,1.15402,1.05066192,0.124829,0.683627,2.05088,DWARF,1.38706315,1.38706315,310.613,,0.0350148,,22.0,0.00273554935,,,5.17791661E-4,0.1901889691887033,2.45924577E8,348.02133,-11.982769000000001,245924577,GO19049_LC|GO19065_LC|GO19067_LC,1.1545020394683787E-4,1635721458409799680,Gaia DR2 2413050173220659072,2413050173220659072,1157195344,2015.5,348.0212375181837,0.03334522599422043,-11.982840823438643,0.03084043937175437,3.2596322697195643,0.0384582195426504,84.75775,-24.79867857352506,0.07476119819108888,-15.322293056731395,0.054898035871665064,0.1463892,0.2062659,-0.14918219,-0.22601081,-0.2194777,-0.18599026,-0.30739808,0.0786265,-0.28387037,0.020802138,134,125,127,7,2.8139045,170.60956,0.0,0.0,31,true,343.21655,1.617282774068951,0.007584540822706908,-0.018791309,15,10,0.049985427,0,16,false,123,361863.5246179475,129.6486692300734,2791.1086,11.792004,15,196741.693700981,181.1098404762261,1086.3114,12.116647,15,237381.65048844492,250.15575155583122,948.9354,11.323302,1.1996881,0,0.7933445,0.32464314,0.46870136,13.728852908485843,0.771830709250321,2,6000.0,3.5,0.0,NOT_AVAILABLE,61.09766240379979,-62.21874106900132,344.3064370814415,-6.299595064025267,100001,5864.5,5776.0,6298.125,0.0695,0.0,0.2137,0.0385,0.0,0.0861,200111,1.1206853,0.9716796,1.1552907,295.1908676410594,1.3384002,1.3145365,1.362264,http://geadata.esac.esa.int/data-server/datalink/links?ID=2413050173220659072,,1.1545020390095842E-4
111,4582457,348.537033,-11.541905,-16.2565,-1.71591,11.575,STAR,2mass,20180610,,,393-135104,23140888-1132308,,J231408.87-113230.8,2413440083236502912,7402239,,tmgaia,0.942811,0.942721,hsoy,,,,62.509616,-62.353886,344.947511,-6.091727,13.058,0.026,12.382,0.092,,,,,,,,,,,10.939,0.023,10.532,0.025,10.436,0.021,AAA-222-111-000-0-0,46.7,10.393,0.022,10.432,0.019,10.305,0.079,8.451,,12.0473,3.53737E-4,0.018,gaiaj,splin,5275.0,183.0,4.44554,2.00384,,,0.943261,0.943261,0.9044225,0.112083,1.07765,3.23294,DWARF,0.6206517,0.6206517,219.781,,0.0346368,,17.0,0.00364206429,,,6.283493E-4,0.047278606895936194,2.45933515E8,348.53702000000004,-11.541908,245933515,GO19049_LC|GO19065_LC|GO19067_LC|GO19068_LC,8.59599606676281E-5,1635721458409799680,Gaia DR2 2413440083236502912,2413440083236502912,377664609,2015.5,348.53694667063513,0.03962167359769979,-11.541920320527051,0.031634643842970676,3.5178500200743614,0.043830861548054725,80.25966,-16.699103154247105,0.07841314925524455,-0.9274631851115479,0.05610485841319164,0.17254744,0.29381996,-0.07420795,-0.27039364,0.114697,-0.17007735,-0.28310072,0.05481578,-0.43990746,-0.015517956,117,117,116,1,2.9196866,159.58215,0.0,0.0,31,true,337.48083,1.5972768985429708,0.00856522416779244,-0.09725579,14,8,0.04915269,0,14,false,117,262188.32435683673,263.82081492383315,993.81213,12.141832,14,134121.1299908137,392.5944531675379,341.6277,12.532645,14,185186.91839567228,421.5704802119671,439.27866,11.592895,1.2178576,0,0.9397507,0.39081287,0.5489378,,,0,,,,NOT_AVAILABLE,62.509476811593586,-62.3538286303328,344.9474411010427,-6.091716718899652,100001,5440.0,5355.0,6355.165,0.2335,0.1296,0.3098,0.1147,0.0664,0.1466,200111,1.044649,0.76544595,1.0780756,273.2090673229505,0.86105543,0.84575623,0.87635463,http://geadata.esac.esa.int/data-server/datalink/links?ID=2413440083236502912,,8.595996068459605E-5
10,404244634,348.109069,-11.96224,174.16,-36.65,11.601,STAR,2mass,20180610,,,391-134521,23122618-1157440,,J231226.30-115744.4,2413050478163364352,7401232,,tmgaia,2.0,2.0,sblink,,,,61.243459,-62.275288,344.39408,-6.314273,14.038,0.06,12.809,0.114,,,,,,,,,,,10.66,0.028,9.951,0.023,9.831,0.021,AAA-222-111-000-0-0,94.2,9.779,0.023,9.837,0.021,9.806,0.058,8.013,,12.2932,3.96927E-4,0.019,gaiaj,spec,4250.0,64.0,4.98,0.12,-0.26,0.08,0.416239,0.051062,0.5822409,0.046738,8.07371,2.97132,DWARF,0.050925687,0.0124945743,,,0.0340289,,13.0,1.33305946E-6,,,,0.0749627750548389,2.45924999E8,348.10907000000003,-11.962219000000001,245924999,GO19049_LC|GO19065_LC|GO19067_LC|GO19068_LC,7.661983397410455E-4,1635721458409799680,Gaia DR2 2413050478163364352,2413050478163364352,912577957,2015.5,348.1098367224713,0.03342456343978504,-11.962391600529786,0.02988911213458716,9.352547872142054,0.03834991643044545,243.87401,176.12274746844562,0.07102345906905244,-38.37975077788384,0.06039480661668331,0.12651417,0.30766627,0.100399695,-0.15401322,-0.12494654,-0.08624059,0.034778032,-0.06606151,-0.24669951,0.16043183,140,140,138,2,7.386082,292.36444,0.0,0.0,31,true,281.07297,1.4386103217238786,0.0078727112258477,0.047490586,16,10,0.047435343,0,16,false,139,201675.12674558474,52.39822203566166,3848.8926,12.426735,16,76767.22871977396,92.66310098359915,828.4552,13.138449,15,179814.73167432885,161.75805110176304,1111.6277,11.624857,1.2722539,0,1.5135918,0.7117138,0.801878,-31.01942345386267,1.68629996179648,4,4250.0,5.0,0.0,NOT_AVAILABLE,61.24416474040889,-62.275979884604304,344.3947301435509,-6.314714845380123,100001,4460.25,4276.635,4581.99,0.2858,0.125,0.6464,0.1297,0.0644,0.3155,200111,0.5772383,0.54697216,0.62786925,106.73510375635331,0.118806936,0.11808501,0.11952886,http://geadata.esac.esa.int/data-server/datalink/links?ID=2413050478163364352,,7.661983397633094E-4
