EPIC,KepMag
245922798,15.952
245923096,16.050
245923200,14.469
245923374,18.370
245923832,13.419
245924338,16.791
245924453,12.970
245924572,17.499
245924577,11.910
245924621,17.400
245924999,12.479
245925092,13.137
245925137,16.129
245925194,17.578
245925406,16.502
245925487,14.829
245925567,14.855
245925582,7.659
245925615,12.934
245925841,16.196
245925902,12.339
245925909,17.429
245925916,12.164
245926035,15.786
245926090,17.970
245926174,17.105
245926206,16.519
245926246,13.732
245926259,11.133
245926296,15.949
245926308,17.512
245926318,16.460
245926489,13.794
245926498,16.151
245926592,17.847
245926600,12.999
245927125,15.318
245927185,17.465
245927215,15.668
245927226,15.024
245927251,10.928
245927318,12.277
245927416,16.923
245927769,17.049
245927911,13.613
245927930,15.811
245927973,16.656
245928149,15.642
245928182,12.394
245928184,15.131
245928235,15.638
245928353,12.481
245928385,16.168
245928441,13.915
245928468,13.515
245928768,13.094
245928811,13.310
245929111,12.920
245929136,15.081
245929207,15.674
245929348,9.316
245929396,13.954
245929533,13.080
245929889,15.660
245929897,16.528
245929941,15.612
245929949,16.131
245930077,18.729
245930109,13.404
245930186,15.240
245930222,16.592
245930282,12.020
245930321,18.340
245930322,15.931
245930436,18.126
245930450,16.800
245930635,15.823
245930702,13.120
245930721,17.760
245930767,12.779
245930796,15.482
245930808,15.929
245930931,15.502
245930965,15.903
245930966,15.924
245930999,14.600
245931062,14.241
245931065,17.115
245931110,15.858
245931121,14.446
245931241,15.452
245931346,15.599
245931391,15.824
245931711,9.944
245931836,15.829
245931927,13.908
245931953,13.342
245931975,15.278
245931981,15.328
245932122,13.266
245932150,13.258
245932257,15.895
245932259,14.711
245932685,15.833
245933022,12.959
245933025,14.414
245933030,11.128
245933176,16.340
245933261,13.527
245933418,16.337
245933462,16.861
245933515,12.174
245933560,17.652
245933625,14.704
245933701,13.499
245933705,15.525
245933888,16.920
245933970,15.756
245934118,16.286
245934168,15.764
245934227,16.556
245934248,16.331
245934421,16.034
245934486,14.724
245934571,12.668
245934982,13.166
245935059,15.142
245935122,15.427
245935420,13.062
245935535,15.311
245935632,17.999
245935840,13.739
245935942,17.626
245936042,16.178
245936111,16.993
245936182,15.538
245936260,17.607
245936631,13.810
245936720,15.750
245936776,16.880
245936793,14.197
245937414,15.318
245937556,12.395
245937765,15.428
245937809,18.312
245937844,14.521
245938152,12.788
245938214,16.208
245938596,18.257
245938600,15.212
245938707,16.758
245938779,17.110
245939138,15.192
245939500,16.094
245939811,14.535
245940149,11.438
245940582,13.797
245940811,15.288
245941087,18.274
245941110,16.091
245941221,15.944
245941254,14.712
245941322,12.870
245942383,16.116
245943851,17.748
245944073,13.808
251456407,18.168
251813843,19.206
251816599,18.525
251816601,18.567
251816651,18.952
