EPIC,RA,Dec,KepMag
245922798,348.0258690,-12.0867260,15.952
245923096,348.0718730,-12.0691570,16.050
245923200,347.9688960,-12.0623370,14.469
245923374,348.0294160,-12.0510490,18.370
245923832,347.9557420,-12.0213060,13.419
245924338,348.0871320,-11.9942610,16.791
245924453,348.1611120,-11.9886670,12.970
245924572,348.1534400,-11.9829140,17.499
245924577,348.0213470,-11.9827690,11.910
245924621,347.9533540,-11.9807190,17.400
245924999,348.1090650,-11.9622190,12.479
245925092,348.1568020,-11.9573740,13.137
245925137,348.1966750,-11.9551440,16.129
245925194,347.9386890,-11.9520910,17.578
245925406,348.3040120,-11.9426840,16.502
245925487,348.1338280,-11.9380540,14.829
245925567,348.2322770,-11.9338970,14.855
245925582,347.9982060,-11.9335540,7.659
245925615,348.2868880,-11.9320720,12.934
245925841,347.8707130,-11.9203960,16.196
245925902,348.3206540,-11.9176040,12.339
245925909,348.0003060,-11.9171100,17.429
245925916,347.8966070,-11.9166070,12.164
245926035,347.9452370,-11.9106760,15.786
245926090,348.2374970,-11.9081950,17.970
245926174,348.0666350,-11.9045910,17.105
245926206,348.1784000,-11.9025960,16.519
245926246,348.0456510,-11.9002090,13.732
245926259,348.1589680,-11.8992610,11.133
245926296,347.9105380,-11.8976350,15.949
245926308,347.9492300,-11.8967140,17.512
245926318,348.1586410,-11.8963770,16.460
245926489,348.0586220,-11.8877220,13.794
245926498,347.8980800,-11.8875520,16.151
245926592,348.2400980,-11.8826980,17.847
245926600,347.8744880,-11.8823020,12.999
245927125,348.3957230,-11.8584830,15.318
245927185,347.8173470,-11.8560900,17.465
245927215,348.2488780,-11.8545530,15.668
245927226,348.2660240,-11.8542750,15.024
245927251,347.8678630,-11.8528710,10.928
245927318,348.0962380,-11.8494370,12.277
245927416,348.0119470,-11.8445960,16.923
245927769,347.9442760,-11.8258840,17.049
245927911,348.3517030,-11.8193740,13.613
245927930,348.3337060,-11.8183190,15.811
245927973,347.9289000,-11.8167570,16.656
245928149,348.4957220,-11.8087790,15.642
245928182,347.9628860,-11.8068240,12.394
245928184,347.7899370,-11.8067220,15.131
245928235,348.1991550,-11.8043000,15.638
245928353,347.7879660,-11.7983800,12.481
245928385,348.4176670,-11.7970100,16.168
245928441,348.1389470,-11.7943280,13.915
245928468,348.0987030,-11.7932220,13.515
245928768,348.3779470,-11.7779480,13.094
245928811,348.2094550,-11.7757350,13.310
245929111,347.8305910,-11.7617670,12.920
245929136,347.9441580,-11.7603910,15.081
245929207,348.3152990,-11.7566570,15.674
245929348,348.4076010,-11.7493420,9.316
245929396,348.4128910,-11.7461930,13.954
245929533,347.9489010,-11.7398450,13.080
245929889,348.2241180,-11.7223620,15.660
245929897,348.0766190,-11.7218090,16.528
245929941,347.9340920,-11.7199390,15.612
245929949,348.0757610,-11.7195310,16.131
245930077,348.4317600,-11.7132180,18.729
245930109,348.1570780,-11.7116230,13.404
245930186,348.0429190,-11.7079320,15.240
245930222,348.1647140,-11.7058600,16.592
245930282,348.5713210,-11.7029370,12.020
245930321,348.1617960,-11.7008960,18.340
245930322,348.5204350,-11.7008590,15.931
245930436,348.1886990,-11.6955220,18.126
245930450,348.1876750,-11.6948610,16.800
245930635,348.1567790,-11.6853250,15.823
245930702,348.6538490,-11.6814480,13.120
245930721,348.2993330,-11.6808460,17.760
245930767,348.2293790,-11.6788960,12.779
245930796,348.1407470,-11.6776540,15.482
245930808,348.4599120,-11.6770930,15.929
245930931,348.2298990,-11.6702940,15.502
245930965,348.4100480,-11.6690620,15.903
245930966,348.4235400,-11.6689820,15.924
245930999,348.0335450,-11.6671180,14.600
245931062,348.3157340,-11.6641970,14.241
245931065,348.2680850,-11.6638910,17.115
245931110,348.4955210,-11.6614990,15.858
245931121,348.3177040,-11.6609680,14.446
245931241,348.3145340,-11.6538120,15.452
245931346,348.4190850,-11.6488920,15.599
245931391,348.4059800,-11.6462810,15.824
245931711,348.5167750,-11.6294050,9.944
245931836,348.6026860,-11.6234720,15.829
245931927,348.1758330,-11.6190750,13.908
245931953,348.7376250,-11.6180400,13.342
245931975,348.2090310,-11.6172190,15.278
245931981,348.6473740,-11.6170390,15.328
245932122,348.1831140,-11.6097320,13.266
245932150,348.4960280,-11.6084340,13.258
245932257,348.2529610,-11.6027720,15.895
245932259,348.3721670,-11.6026820,14.711
245932685,348.3814470,-11.5830580,15.833
245933022,348.3120410,-11.5671010,12.959
245933025,348.2776980,-11.5669890,14.414
245933030,348.2757320,-11.5665880,11.128
245933176,348.4527990,-11.5592600,16.340
245933261,348.8253670,-11.5546610,13.527
245933418,348.7586810,-11.5472910,16.337
245933462,348.7327680,-11.5446410,16.861
245933515,348.5370210,-11.5419080,12.174
245933560,348.7556280,-11.5396990,17.652
245933625,348.8431590,-11.5362850,14.704
245933701,348.5973920,-11.5325670,13.499
245933705,348.4304640,-11.5321820,15.525
245933888,348.5934770,-11.5223200,16.920
245933970,348.6769230,-11.5189900,15.756
245934118,348.8956960,-11.5118130,16.286
245934168,348.8004700,-11.5095070,15.764
245934227,348.4938680,-11.5061450,16.556
245934248,348.4880850,-11.5051700,16.331
245934421,348.5230350,-11.4962180,16.034
245934486,348.9129610,-11.4926030,14.724
245934571,348.8737970,-11.4885480,12.668
245934982,348.6025370,-11.4704460,13.166
245935059,348.7276330,-11.4664090,15.142
245935122,348.9052680,-11.4633900,15.427
245935420,348.5540320,-11.4489960,13.062
245935535,348.5632740,-11.4433400,15.311
245935632,348.7042060,-11.4385480,17.999
245935840,348.6569330,-11.4287160,13.739
245935942,348.9770600,-11.4238330,17.626
245936042,348.8032510,-11.4184620,16.178
245936111,348.5998110,-11.4148810,16.993
245936182,349.0479700,-11.4105070,15.538
245936260,348.9521510,-11.4061990,17.607
245936631,349.0633780,-11.3879530,13.810
245936720,348.8271930,-11.3837850,15.750
245936776,349.0533820,-11.3810100,16.880
245936793,348.8379840,-11.3802090,14.197
245937414,348.9339500,-11.3494340,15.318
245937556,349.1123220,-11.3423990,12.395
245937765,348.9860380,-11.3324660,15.428
245937809,348.8968810,-11.3305670,18.312
245937844,348.8498040,-11.3286850,14.521
245938152,348.8514120,-11.3136630,12.788
245938214,348.9449670,-11.3107300,16.208
245938596,349.0850990,-11.2913290,18.257
245938600,348.9375600,-11.2910770,15.212
245938707,349.0653760,-11.2857830,16.758
245938779,349.2049550,-11.2824150,17.110
245939138,349.0391130,-11.2650620,15.192
245939500,349.1805060,-11.2483190,16.094
245939811,349.2895070,-11.2325180,14.535
245940149,349.2606800,-11.2178740,11.438
245940582,349.2267850,-11.1972600,13.797
245940811,349.2331640,-11.1855910,15.288
245941087,349.3197220,-11.1734300,18.274
245941110,349.2319150,-11.1726620,16.091
245941221,349.3486750,-11.1675610,15.944
245941254,349.3664260,-11.1655200,14.712
245941322,349.3091420,-11.1625780,12.870
245942383,349.4573820,-11.1180220,16.116
245943851,349.4929110,-11.0621600,17.748
245944073,349.5465870,-11.0551310,13.808
251456407,349.0137350,-11.3186330,18.168
251813843,348.2541250,-11.7035035,19.206
251816599,348.2790260,-11.8097658,18.525
251816601,347.8351918,-11.8091156,18.567
251816651,349.4266907,-11.0906692,18.952
