,ID,ra,dec,pmRA,pmDEC,Tmag,objType,typeSrc,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,dstArcSec,EPIC,rafloat,decfloat,InvestigationIDs
0,5738930,348.025888,-12.086764,33.3159,4.20386,14.985,STAR,2mass,20180610,,,390-138745,23120620-1205123,,J231206.24-120512.2,2412978563231124096,7401058,,tmgaia,2.22848,2.22847,hsoy,,,,60.924277,-62.284346,344.269694,-6.396994,,,16.304,0.03,,,,,,,,,,,14.006,0.028,13.435,0.033,13.239,0.043,AAA-222-111-000-0-0,9.3,13.238,0.027,13.356,0.037,12.041,,7.814,,15.7029,0.0023123,0.019,gaiaj,,4231.0,172.0,,,,,,,,,,,DWARF,,,,,0.0353,,,,,,,0.13896344655916398,245922798.0,348.02588,-12.086725999999999,GO19067_LC|GO19068_LC
1,5738933,348.071899,-12.069173,0.893552,-1.86069,15.317,STAR,2mass,20180610,,,390-138748,23121725-1204090,,J231217.24-120408.9,2412979009907732480,7401164,,tmgaia,2.22218,2.22217,hsoy,,,,61.012312,-62.310013,344.318285,-6.398427,17.138,0.124,15.715,1.03,,,,,,,,,,,14.625,0.034,14.141,0.046,14.043,0.066,AAA-222-111-000-0-0,78.1,14.058,0.028,14.084,0.051,12.059,,8.368,,15.8297,0.00250164,0.021,gaiaj,,5514.0,186.0,,,,,,,,,,,GIANT,,,,,,,,,,,,0.11686821106549859,245923096.0,348.07187000000005,-12.069157,GO19067_LC|GO19068_LC
2,5725852,347.968908,-12.062366,31.45,11.21,13.728,STAR,2mass,20180610,,,390-138737,23115253-1203445,,J231152.56-120344.3,2413025807873305984,7400925,,tmgaia,2.0,2.0,sblink,,,,60.895191,-62.225045,344.227715,-6.35273,15.53,0.118,14.696,0.064,,,,,,,,,,,12.933,0.022,12.456,0.024,12.341,0.025,AAA-222-111-000-0-0,92.1,12.315,0.023,12.359,0.026,11.906,0.354,8.627,,14.3154,0.00106338,0.018,gaiaj,splin,4870.0,179.0,4.51243,2.00346,,,0.818209,0.818209,0.793837,0.0934813,1.44923,4.3477,DWARF,0.339265,0.339265,457.56,,0.0350314,,10.0,1.61884959e-08,,,,0.107437237206885,245923200.0,347.9689,-12.062337,GO19067_LC|GO19068_LC
3,5738934,348.029416,-12.051049,,,16.638,STAR,2mass,20180610,,,,23120705-1203037,,J231207.06-120303.5,,,,2mass,,,,,,,60.990368,-62.26585,344.28696,-6.365482,17.394,0.117,,,,,,,,,,,,,15.988,0.11,15.506,0.144,15.087,0.166,BBC-222-111-000-0-0,49.1,13.893,0.028,13.559,0.041,9.7,0.055,7.469,0.19,,,0.18,bpjk,,4934.0,180.0,,,,,,,,,,,,,,,,,,,,,,,0.014124004334346246,245923374.0,348.02942,-12.051049,GO19059_LC
4,5725844,347.955744,-12.021335,9.55087,-7.3219,12.825,STAR,2mass,20180610,,,390-138736,23114937-1201167,,J231149.38-120116.8,2413027250982286592,7400907,,tmgaia,2.22848,2.22847,hsoy,,,,60.949469,-62.190277,344.231954,-6.309933,14.251,0.076,13.793,0.16,,,,,,,,,,,12.208,0.022,11.848,0.025,11.777,0.025,AAA-222-111-000-0-0,48.2,11.733,0.023,11.806,0.024,11.513,0.24,8.565,,13.2815,0.000635267,0.018,gaiaj,splin,5219.0,183.0,4.45655,2.00373,,,0.923422,0.923422,0.8890419,0.108676,1.12907,3.38722,DWARF,0.5699599,0.5699599,465.288,,0.0357967,,12.0,0.0002585064,,,0.000332186115,0.1058105080534228,245923832.0,347.95575,-12.021306,GO19049_LC|GO19067_LC
5,5738942,348.087111,-11.994262,-49.27,-1.38,16.62,STAR,2mass,20180610,,,,23122091-1159393,,J231220.87-115939.3,2413003027364889856,,,tmgaia,2.0,2.0,sblink,,,,61.16068,-62.277234,344.361577,-6.335325,21.067,0.164,,,,,,,,,,,,,14.808,0.038,14.158,0.041,14.03,0.064,AAA-222-111-000-0-0,57.2,13.804,0.027,13.635,0.04,12.037,,8.636,,17.851,0.0109175,0.023,gaiaj,,,,,,,,,,,,,,DWARF,,,,,,,,,,,,0.06696867614847593,245924338.0,348.08713,-11.994261,GO19063_LC
6,5738973,348.161186,-11.988628,-1.44978,-28.4637,12.44,STAR,2mass,20180610,,,391-134526,23123868-1159190,,J231238.66-115919.4,2413003233523108992,7401363,,tmgaia,0.978851,0.925891,hsoy,,,,61.263675,-62.331921,344.430879,-6.358521,13.648,0.065,13.152,0.08,,,,,,,,,,,11.9,0.023,11.577,0.025,11.529,0.025,AAA-222-111-000-0-0,34.1,11.506,0.022,11.551,0.022,11.102,0.166,8.869,,12.8392,0.000513816,0.018,gaiaj,splin,5766.0,188.0,4.34755,,,,1.1282,1.1282,1.03250551,0.123591,0.719002,0.719002,DWARF,1.267559,1.267559,489.412,,0.0336271,,15.0,,,,,0.33411271794703723,245924453.0,348.1611,-11.988667,GO19049_LC|GO19065_LC|GO19067_LC
7,5738970,348.15344,-11.982914,,,16.68,STAR,2mass,20180610,,,,23123682-1158584,,J231236.79-115858.5,,,,2mass,,,,,,,61.263756,-62.32243,344.426116,-6.350295,17.034,0.098,,,,,,,,,,,,,16.003,0.09,15.422,0.121,14.687,0.111,ABB-222-111-000-0-0,34.1,14.142,0.029,14.0,0.048,11.496,0.234,8.776,,,,0.165,bpjk,,4518.0,175.0,,,,,,,,,,,,,,,,,,,,,,,0.0007199999978118295,245924572.0,348.15344,-11.982914,GO19059_LC
8,5738944,348.021353,-11.982817,-24.3069,-15.5453,11.426,STAR,2mass,20180610,,,391-134515,23120512-1158581,,J231205.10-115858.0,2413050168925719424,7401043,,tmgaia,0.920275,0.929776,hsoy,,,,61.097848,-62.218817,344.306536,-6.299608,12.522,0.063,11.982,0.092,,,,,,,,,,,10.797,0.022,10.534,0.025,10.45,0.023,AAA-222-111-000-0-0,22.1,10.403,0.023,10.449,0.021,10.376,0.093,8.247,,11.8918,0.000345996,0.018,gaiaj,splin,5831.0,190.0,4.33546,2.00353,,,1.15402,1.15402,1.05066192,0.124829,0.683627,2.05088,DWARF,1.38706315,1.38706315,310.613,,0.0350148,,22.0,0.00273554935,,,0.000517791661,0.1901889691887033,245924577.0,348.02133,-11.982769000000001,GO19049_LC|GO19065_LC|GO19067_LC
9,5725841,347.953354,-11.980719,,,16.411,STAR,2mass,20180610,,,,23114880-1158505,,J231148.88-115849.3,,,,2mass,,,,,,,61.016361,-62.164193,344.245782,-6.271642,15.212,0.112,,,,,,,,,,,,,15.911,0.106,15.322,0.14,14.757,0.138,ABB-222-111-000-0-0,57.8,14.291,0.053,14.22,0.078,11.714,0.48,7.501,,,,0.8,joffs,,5709.0,189.0,,,,,,,,,,,,,,,,,,,,,,,0.05634992867814785,245924621.0,347.95337,-11.980719,GO19059_LC
